,pic,time_spend,compact_rate,MSE
0,airplane00.tif,0.011802434921264648,0.0541,90.007
1,airplane01.tif,0.012042999267578125,0.0519,118.2945
2,airplane02.tif,0.011515140533447266,0.0519,118.2781
3,airplane03.tif,0.014862298965454102,0.0571,103.8015
4,airplane04.tif,0.015713214874267578,0.0559,103.7005
5,airplane05.tif,0.015393972396850586,0.0547,110.1603
6,airplane06.tif,0.013587474822998047,0.0578,106.1368
7,airplane07.tif,0.011400461196899414,0.0548,105.6539
8,airplane08.tif,0.00935053825378418,0.0575,108.771
9,airplane09.tif,0.012565374374389648,0.0569,108.8746
10,airplane10.tif,0.011346101760864258,0.0584,107.7059
11,airplane11.tif,0.014069557189941406,0.0583,104.0712
12,airplane12.tif,0.01436924934387207,0.0524,102.8407
13,airplane13.tif,0.014844655990600586,0.0549,103.453
14,airplane14.tif,0.013010501861572266,0.0553,92.6917
15,airplane15.tif,0.014095544815063477,0.0539,118.1567
16,airplane16.tif,0.015082359313964844,0.0592,112.1863
17,airplane17.tif,0.014484167098999023,0.0611,86.1422
18,airplane18.tif,0.011399507522583008,0.0583,92.7952
19,airplane19.tif,0.012467622756958008,0.0558,111.5691
20,airplane20.tif,0.010073184967041016,0.0582,94.5301
21,airplane21.tif,0.010882139205932617,0.061,99.7168
22,airplane22.tif,0.0105133056640625,0.0535,81.3814
23,airplane23.tif,0.010149955749511719,0.0617,100.5519
24,airplane24.tif,0.01395726203918457,0.0551,107.7265
25,airplane25.tif,0.010151863098144531,0.0548,116.324
26,airplane26.tif,0.010652303695678711,0.0618,98.1135
27,airplane27.tif,0.011528491973876953,0.0605,93.9822
28,airplane28.tif,0.013422250747680664,0.0585,97.9705
29,airplane29.tif,0.010365486145019531,0.0598,83.6416
30,airplane30.tif,0.012895822525024414,0.0623,101.578
31,airplane31.tif,0.011080265045166016,0.0528,109.7894
32,airplane32.tif,0.011821269989013672,0.0568,75.3902
33,airplane33.tif,0.009000301361083984,0.0555,74.6364
34,airplane34.tif,0.014738321304321289,0.0582,82.2999
35,airplane35.tif,0.012915611267089844,0.0544,106.0422
36,airplane36.tif,0.013767719268798828,0.0556,84.7008
37,airplane37.tif,0.01405024528503418,0.054,107.1895
38,airplane38.tif,0.015659809112548828,0.0572,104.4721
39,airplane39.tif,0.01327967643737793,0.0581,91.7704
40,airplane40.tif,0.01357579231262207,0.0592,91.4155
41,airplane41.tif,0.011832714080810547,0.0617,107.0193
42,airplane42.tif,0.012931108474731445,0.0593,100.5415
43,airplane43.tif,0.015131711959838867,0.0596,96.6977
44,airplane44.tif,0.013379335403442383,0.0522,83.4732
45,airplane45.tif,0.011751174926757812,0.0581,88.9663
46,airplane46.tif,0.011309385299682617,0.0612,103.3162
47,airplane47.tif,0.010924339294433594,0.06,105.014
48,airplane48.tif,0.01051640510559082,0.0674,96.8797
49,airplane49.tif,0.01363515853881836,0.0671,93.5941
50,airplane50.tif,0.011438131332397461,0.0641,93.3533
